op name, kernel name, exec duration (ms), global size, local size, output size
ffn_up-3,kernel_gemm_noshuffle_q4_0_f32,0.345100,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-3,kernel_swiglu,0.005900,1024x1x1,512x1x1,6144x2x1x1
ffn_out-3,kernel_transpose_32_16,0.010200,1536x2x0,1x16x0,2048x2x1x1
ffn_out-3,kernel_gemm_noshuffle_q4_0_f32,0.976000,1x512x1,1x128x1,2048x2x1x1
l_out-3,kernel_add,0.013100,128x1x1,64x1x1,2048x2x1x1
attn_norm-4,kernel_rms_norm_mul,0.005400,2048x1x1,1024x1x1,2048x2x1x1
Qcur-4,kernel_transpose_32_16,0.004700,512x2x0,1x16x0,2048x2x1x1
Qcur-4,kernel_gemm_noshuffle_q4_0_f32,0.326800,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-4,kernel_rms_norm_mul,0.004400,2048x2x1,128x1x1,128x16x2x1
Qcur-4,kernel_rope_neox_f32,0.003100,1024x2x1,64x1x1,128x16x2x1
Vcur-4,kernel_transpose_32_16,0.005000,512x2x0,1x16x0,1024x2x1x1
Vcur-4,kernel_gemm_noshuffle_q4_0_f32,0.326400,1x256x1,1x128x1,1024x2x1x1
Kcur-4,kernel_transpose_32_16,0.005100,512x2x0,1x16x0,1024x2x1x1
Kcur-4,kernel_gemm_noshuffle_q4_0_f32,0.327700,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-4,kernel_rms_norm_mul,0.004800,1024x2x1,128x1x1,128x8x2x1
Kcur-4,kernel_rope_neox_f32,0.003500,512x2x1,64x1x1,128x8x2x1
cache_k_l4 (view),kernel_set_rows_f16_i64,0.002900,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l4 (view),kernel_set_rows_f16_i64,0.003200,2048x1x1,1024x1x1,1024x40192x1x1
node_165,flash_attn_blk_f16,0.007100,8x1x1,0x0x0,128x16x2x1
node_165,flash_attn_f32_f16,0.062200,128x16x0,128x1x0,128x16x2x1
node_167,kernel_transpose_32_16,0.005100,512x2x0,1x16x0,2048x2x1x1
node_167,kernel_gemm_noshuffle_q4_0_f32,0.339000,1x512x1,1x128x1,2048x2x1x1
ffn_inp-4,kernel_add,0.013600,128x1x1,64x1x1,2048x2x1x1
ffn_norm-4,kernel_rms_norm_mul,0.005500,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-4,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,6144x2x1x1
ffn_gate-4,kernel_gemm_noshuffle_q4_0_f32,0.332900,1x1536x1,1x128x1,6144x2x1x1
ffn_up-4,kernel_transpose_32_16,0.005100,512x2x0,1x16x0,6144x2x1x1
ffn_up-4,kernel_gemm_noshuffle_q4_0_f32,0.332200,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-4,kernel_swiglu,0.006900,1024x1x1,512x1x1,6144x2x1x1
ffn_out-4,kernel_transpose_32_16,0.010300,1536x2x0,1x16x0,2048x2x1x1
ffn_out-4,kernel_gemm_noshuffle_q4_0_f32,1.013400,1x512x1,1x128x1,2048x2x1x1
l_out-4,kernel_add,0.013200,128x1x1,64x1x1,2048x2x1x1
attn_norm-5,kernel_rms_norm_mul,0.005400,2048x1x1,1024x1x1,2048x2x1x1
Qcur-5,kernel_transpose_32_16,0.005200,512x2x0,1x16x0,2048x2x1x1
Qcur-5,kernel_gemm_noshuffle_q4_0_f32,0.337000,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-5,kernel_rms_norm_mul,0.004500,2048x2x1,128x1x1,128x16x2x1
Qcur-5,kernel_rope_neox_f32,0.003000,1024x2x1,64x1x1,128x16x2x1
Vcur-5,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,1024x2x1x1
Vcur-5,kernel_gemm_noshuffle_q4_0_f32,0.329600,1x256x1,1x128x1,1024x2x1x1
Kcur-5,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,1024x2x1x1
Kcur-5,kernel_gemm_noshuffle_q4_0_f32,0.325900,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-5,kernel_rms_norm_mul,0.003800,1024x2x1,128x1x1,128x8x2x1
Kcur-5,kernel_rope_neox_f32,0.002800,512x2x1,64x1x1,128x8x2x1
cache_k_l5 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
