op name, kernel name, exec duration (ms), t_since_start_ms, tensor_bytes, rss_kb, global size, local size, output size
cache_k_l11 (view),VIEW,0.000417,1285.359531,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_k_l11 (view) (permuted),PERMUTE,0.016667,1285.380052,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
cache_v_l11 (view),VIEW,0.000416,1285.384791,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_v_l11 (view) (permuted),PERMUTE,0.014062,1285.402760,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
node_410,FLASH_ATTN_EXT,0.046563,1285.453594,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
kqv_out-11,RESHAPE,0.000313,1285.458021,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
node_412,MUL_MAT,0.133385,1285.595156,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_inp-11,ADD,0.001459,1285.601094,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-11,RMS_NORM,0.003177,1285.608073,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_norm-11,MUL,0.001511,1285.613177,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_gate-11,MUL_MAT,0.151718,1285.768489,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_up-11,MUL_MAT,0.151667,1285.924531,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_swiglu-11,GLU,0.004115,1285.933021,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_out-11,MUL_MAT,0.174271,1286.111302,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
l_out-11,ADD,0.001458,1286.117187,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-12,RMS_NORM,0.003386,1286.124323,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
attn_norm-12,MUL,0.001614,1286.129583,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
Qcur-12,MUL_MAT,0.057292,1286.190521,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
Qcur-12,RESHAPE,0.000312,1286.195156,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
norm-12,RMS_NORM,0.093490,1286.292396,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur_normed-12,MUL,0.001719,1286.298646,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-12,ROPE,0.001979,1286.304166,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Vcur-12,MUL_MAT,0.030261,1286.338021,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Vcur-12,RESHAPE,0.000313,1286.342500,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-12,MUL_MAT,0.112343,1286.458541,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Kcur-12,RESHAPE,0.000364,1286.463489,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
norm-12,RMS_NORM,0.080572,1286.547916,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur_normed-12,MUL,0.001302,1286.553854,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-12,ROPE,0.001614,1286.559062,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-12 (view),VIEW,0.000417,1286.563073,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_k_l12 (view),SET_ROWS,0.040416,1286.607135,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Vcur-12 (view),VIEW,0.000313,1286.611875,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_v_l12 (view),SET_ROWS,0.014271,1286.629844,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Qcur-12 (view),VIEW,0.000260,1286.634531,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-12 (view) (permuted),PERMUTE,0.016198,1286.654635,8192,5698600,128x1x16x1,0x0x0,128x1x16x1
cache_k_l12 (view),VIEW,0.000417,1286.659427,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_k_l12 (view) (permuted),PERMUTE,0.016615,1286.680000,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
cache_v_l12 (view),VIEW,0.000520,1286.684791,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_v_l12 (view) (permuted),PERMUTE,0.012864,1286.701510,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
node_445,FLASH_ATTN_EXT,0.046146,1286.751927,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
kqv_out-12,RESHAPE,0.000313,1286.756302,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
node_447,MUL_MAT,0.135000,1286.894948,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_inp-12,ADD,0.001354,1286.900989,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-12,RMS_NORM,0.003230,1286.907969,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
